datetime,code,open,high,low,close,volume,amount,adjustflag
2019-01-07 13:30:00,sh.600000,9.94,9.95,9.93,9.93,442199,4392856.0,3
2019-01-07 13:35:00,sh.600000,9.93,9.97,9.93,9.97,193301,1921258.0,3
2019-01-07 13:40:00,sh.600000,9.96,9.96,9.94,9.95,172700,1718692.0,3
2019-01-07 13:45:00,sh.600000,9.95,9.97,9.94,9.95,220700,2196600.0,3
2019-01-07 13:50:00,sh.600000,9.95,9.98,9.94,9.97,228700,2279479.0,3
2019-01-07 13:55:00,sh.600000,9.97,9.99,9.97,9.98,229600,2291231.0,3
2019-01-07 14:00:00,sh.600000,9.98,9.99,9.97,9.98,207500,2071296.0,3
2019-01-07 14:05:00,sh.600000,9.98,9.99,9.96,9.97,146200,1457761.0,3
2019-01-07 14:10:00,sh.600000,9.98,9.98,9.97,9.97,80333,801259.0,3
2019-01-07 14:15:00,sh.600000,9.97,10.01,9.97,10.0,1195550,11950919.0,3
2019-01-07 14:20:00,sh.600000,9.99,10.01,9.99,9.99,274100,2740234.0,3
2019-01-07 14:25:00,sh.600000,9.99,10.0,9.98,9.99,330690,3305501.0,3
2019-01-07 14:30:00,sh.600000,10.0,10.02,9.99,10.0,728756,7289539.0,3
2019-01-07 14:35:00,sh.600000,10.0,10.02,10.0,10.02,251146,2513341.0,3
2019-01-07 14:40:00,sh.600000,10.02,10.02,10.0,10.0,491854,4925538.0,3
2019-01-07 14:45:00,sh.600000,10.0,10.01,10.0,10.01,299300,2994144.0,3
2019-01-07 14:50:00,sh.600000,10.01,10.01,9.98,9.98,381244,3810323.0,3
2019-01-07 14:55:00,sh.600000,9.98,10.02,9.98,10.01,676200,6763609.0,3
2019-01-07 15:00:00,sh.600000,10.0,10.01,9.98,9.98,992389,9915147.0,3
2019-01-08 09:35:00,sh.600000,10.03,10.03,9.97,9.98,578900,5787036.0,3
2019-01-08 09:40:00,sh.600000,9.97,9.99,9.92,9.93,565100,5625616.0,3
2019-01-08 09:45:00,sh.600000,9.92,9.96,9.92,9.94,400154,3976582.0,3
2019-01-08 09:50:00,sh.600000,9.94,9.95,9.94,9.94,256700,2552391.0,3
2019-01-08 09:55:00,sh.600000,9.93,9.94,9.91,9.92,434369,4311251.0,3
2019-01-08 10:00:00,sh.600000,9.92,9.98,9.92,9.96,532436,5296207.0,3
2019-01-08 10:05:00,sh.600000,9.97,9.97,9.94,9.95,255626,2543420.0,3
2019-01-08 10:10:00,sh.600000,9.95,9.97,9.94,9.94,292652,2913322.0,3
2019-01-08 10:15:00,sh.600000,9.96,9.97,9.94,9.95,319390,3180079.0,3
2019-01-08 10:20:00,sh.600000,9.95,9.99,9.95,9.97,371124,3700930.0,3
2019-01-08 10:25:00,sh.600000,9.97,9.99,9.97,9.98,292880,2921635.0,3
2019-01-08 10:30:00,sh.600000,9.97,9.98,9.95,9.96,419881,4185330.0,3
2019-01-08 10:35:00,sh.600000,9.96,9.98,9.95,9.97,325263,3242283.0,3
2019-01-08 10:40:00,sh.600000,9.97,10.0,9.97,9.98,632177,6309826.0,3
2019-01-08 10:45:00,sh.600000,9.99,10.02,9.97,9.98,434914,4347115.0,3
2019-01-08 10:50:00,sh.600000,9.99,10.01,9.98,9.99,533144,5329221.0,3
2019-01-08 10:55:00,sh.600000,9.99,9.99,9.96,9.96,202860,2024771.0,3
